var,method,N_total,mean_delta_brier,mean_delta_ece,mean_delta_logloss
AIRMASS_WMEAN_I,magbinned_beta,1000000.0,-0.007329360114706033,-0.05618093227038908,-0.024289969723440007
AIRMASS_WMEAN_I,isotonic,1000000.0,-0.007306040791950709,-0.05643836909481562,-0.024142182129274416
AIRMASS_WMEAN_I,magbinned_isotonic,1000000.0,-0.007300498623629409,-0.05633157814552518,-0.023337764381115084
AIRMASS_WMEAN_I,magaware_platt,1000000.0,-0.007294691590138445,-0.05414900416238733,-0.024155559135742966
AIRMASS_WMEAN_I,beta,1000000.0,-0.007294116890159409,-0.0554646038073338,-0.02414981949617136
AIRMASS_WMEAN_I,uncalibrated,1000000.0,0.0,0.0,0.0
EBV_SFD98,magbinned_beta,1000000.0,-0.007329360114706035,-0.056253907173561546,-0.024289969723440014
EBV_SFD98,isotonic,1000000.0,-0.007306040791950712,-0.05653627909071621,-0.0241421821292744
EBV_SFD98,magbinned_isotonic,1000000.0,-0.007300498623629413,-0.05657334665313751,-0.023337764381115095
EBV_SFD98,magaware_platt,1000000.0,-0.007294691590138453,-0.0545260292884652,-0.024155559135742955
EBV_SFD98,beta,1000000.0,-0.00729411689015941,-0.05566410328500979,-0.024149819496171378
EBV_SFD98,uncalibrated,1000000.0,0.0,0.0,0.0
FWHM_WMEAN_I,magbinned_beta,1000000.0,-0.007329360114706038,-0.05602467081172073,-0.02428996972344002
FWHM_WMEAN_I,isotonic,1000000.0,-0.007306040791950709,-0.056511583713121046,-0.024142182129274402
FWHM_WMEAN_I,magbinned_isotonic,1000000.0,-0.007300498623629416,-0.05633380632133146,-0.023337764381115084
FWHM_WMEAN_I,magaware_platt,1000000.0,-0.0072946915901384544,-0.054286808703321345,-0.02415555913574297
FWHM_WMEAN_I,beta,1000000.0,-0.007294116890159413,-0.05545754052059195,-0.02414981949617137
FWHM_WMEAN_I,uncalibrated,1000000.0,0.0,0.0,0.0
MAGLIM_I,magbinned_beta,1000000.0,-0.007329360114706034,-0.055607097148157425,-0.024289969723440014
MAGLIM_I,isotonic,1000000.0,-0.007306040791950706,-0.05585574460390599,-0.024142182129274433
MAGLIM_I,magbinned_isotonic,1000000.0,-0.007300498623629413,-0.05581724646398658,-0.02333776438111509
MAGLIM_I,magaware_platt,1000000.0,-0.007294691590138448,-0.05405301363107386,-0.024155559135742976
MAGLIM_I,beta,1000000.0,-0.007294116890159409,-0.05507880291183913,-0.024149819496171367
MAGLIM_I,uncalibrated,1000000.0,0.0,0.0,0.0
mag,magbinned_beta,1000000.0,-0.007329360114706037,-0.05602721477086238,-0.02428996972344003
mag,isotonic,1000000.0,-0.007306040791950712,-0.05606113847795865,-0.024142182129274437
mag,magbinned_isotonic,1000000.0,-0.007300498623629423,-0.056570349115209785,-0.023337764381115084
mag,magaware_platt,1000000.0,-0.007294691590138453,-0.05392892345493771,-0.024155559135742986
mag,beta,1000000.0,-0.007294116890159412,-0.054834534869887055,-0.02414981949617138
mag,uncalibrated,1000000.0,0.0,0.0,0.0
